,Course Name,Double Period,HS Category,MS Category,Max,Min,Number of Instances,Required Grades,Room Type
0,6th Grade Art,,,C,22.0,10.0,,,Art
1,7th-8th Grade Art,,,C,22.0,10.0,,,Art
2,8th Grade Science,,,I,22.0,10.0,,8.0,Science
3,Adaptive PE,,VII,E,22.0,10.0,,,Gym
4,Advanced Algebra and Trigonometry,,IIC,,22.0,10.0,2.0,,
5,Advanced Algebra and Trigonometry V2,,IIC,,22.0,10.0,2.0,,
6,Advanced Spanish,,IIB,,22.0,10.0,,,
7,Advanced/In-Depth French,,IIB,,22.0,10.0,,,
8,African Studies,Yes,IIA & V,,22.0,10.0,,9.0,
9,African Studies II,Yes,IIA & V,,22.0,10.0,,9.0,
10,Algebra A,,,K,22.0,10.0,2.0,,
11,Algebra A V2,,,K,22.0,10.0,2.0,,
12,Algebra B,,,K,22.0,10.0,2.0,,
13,Algebra B V2,,,K,22.0,10.0,2.0,,
14,American Studies/Global Perspective,Yes,IIA & V,,22.0,10.0,,,
15,American Studies/Global Perspective II,Yes,IIA & V,,22.0,10.0,,,
16,Animal Bio,,VI,,22.0,10.0,,,
17,Asia Studies,,V,,22.0,10.0,,,
18,Banned Books,,,G,22.0,10.0,,,
19,Beginning Algebra and Geometry,,IIC,,22.0,10.0,2.0,,
20,Beginning Algebra and Geometry V2,,IIC,,22.0,10.0,2.0,,
21,Celtic Band,,IV,D,22.0,10.0,,,Music
22,Chemistry,,VI,,22.0,10.0,,,Science
23,Childhood in Conflict,Yes,,G & H,22.0,10.0,,,
24,Childhood in Conflict II,Yes,,G & H,22.0,10.0,,,
25,Choir,,IV,D,22.0,10.0,,,Music
26,Community Service Class,,IB & V,,22.0,10.0,,,
27,Computer Literacy,,,L,22.0,10.0,,,
28,Constitutional Law/Government,,V,,22.0,10.0,,,
29,Dark Fiction,,IIA & V,,22.0,10.0,,,
30,Drawing and Painting,,IV,,22.0,10.0,,,Art
31,Ecology,,VI,,22.0,10.0,,,
32,Economics,,V,,22.0,10.0,,,
33,Empty,,,,22.0,10.0,,,
34,English Seminar,,IIA,,22.0,10.0,,,
35,Evolutionary Biology,,VI,,22.0,10.0,,,
36,Facing History,Yes,IIA & V,,22.0,10.0,,,
37,Facing History II,Yes,IIA & V,,22.0,10.0,,,
38,Fiber Tech,,,I,22.0,10.0,,,
39,French A,,,F,22.0,10.0,,,
40,French B,,,F,22.0,10.0,,,
41,Geography and Borders,,,H,22.0,10.0,,,
42,Geology,,VI,,22.0,10.0,,,
43,Global History of Commodities,,,H,22.0,10.0,,,
44,HS Health,,VII,,22.0,10.0,,,
45,HS PE,,VII,,22.0,10.0,3.0,,Gym
46,HS PE V2,,VII,,22.0,10.0,3.0,,Gym
47,HS PE V3,,VII,,22.0,10.0,3.0,,Gym
48,I Know Some Things,,IIA,,22.0,10.0,,,
49,Immigration and Migration,,IIA,,22.0,10.0,,,
50,In-Depth Spanish,,IIB,,22.0,10.0,,,
51,Inquiry and Tools,Yes,,I & K,22.0,10.0,2.0,6.0,
52,Inquiry and Tools II,Yes,,I & K,22.0,10.0,2.0,6.0,
53,Inquiry and Tools V2,Yes,,I & K,22.0,10.0,2.0,6.0,
54,Inquiry and Tools V2 II,Yes,,I & K,22.0,10.0,2.0,6.0,
55,Intermediate Algebra and Geometry,,IIC,,22.0,10.0,2.0,,
56,Intermediate Algebra and Geometry V2,,IIC,,22.0,10.0,2.0,,
57,Intermediate French,,IIB,F,22.0,10.0,,,
58,Intermediate Spanish,,IIB,F,22.0,10.0,,,
59,Intro to Engineering,,,I,22.0,10.0,,,Science
60,Intro to Physics and Chemistry,,VI,I,22.0,10.0,,,Science
61,Latin American Studies,Yes,IIA & V,,22.0,10.0,,9.0,
62,Latin American Studies II,Yes,IIA & V,,22.0,10.0,,9.0,
63,Literature of Civil Rights Movement,,IIA,,22.0,10.0,,,
64,MS Chemistry,,,I,22.0,10.0,,,Science
65,MS Health,,,J,22.0,10.0,,,
66,MS PE,,,E,22.0,10.0,,,Gym
67,MS/HS PE,,VII,E,22.0,10.0,3.0,,Gym
68,MS/HS PE V2,,VII,E,22.0,10.0,3.0,,Gym
69,MS/HS PE V3,,VII,E,22.0,10.0,3.0,,Gym
70,Music Design,,IV,D,22.0,10.0,,,Music
71,"Music, Myth, and Ritual",,,D,22.0,10.0,,,Music
72,Other,,Z,Z,22.0,10.0,6.0,,
73,Other V2,,Z,Z,22.0,10.0,6.0,,
74,Other V3,,Z,Z,22.0,10.0,6.0,,
75,Other V4,,Z,Z,22.0,10.0,6.0,,
76,Other V5,,Z,Z,22.0,10.0,6.0,,
77,Other V6,,Z,Z,22.0,10.0,6.0,,
78,People and Literature,Yes,,G & H,22.0,10.0,2.0,6.0,
79,People and Literature II,Yes,,G & H,22.0,10.0,2.0,6.0,
80,People and Literature V2,Yes,,G & H,22.0,10.0,2.0,6.0,
81,People and Literature V2 II,Yes,,G & H,22.0,10.0,2.0,6.0,
82,Physics,,VI,,22.0,10.0,,,Science
83,Poet's Society,,,G,22.0,10.0,,,
84,Portfolio Art,,IV,,22.0,10.0,,,Art
85,Portfolio Photo,,IV,,22.0,10.0,,,Art
86,Pre-Calculus,,IIC,,22.0,10.0,,,
87,Probability and Statistics,,IIC,,22.0,10.0,,,
88,Researchers,,,M,22.0,10.0,,,
89,Resource Room,,Other,Other,22.0,10.0,,,Resource
90,Spanish A,,,F,22.0,10.0,2.0,,
91,Spanish A V2,,,F,22.0,10.0,2.0,,
92,Spanish B,,,F,22.0,10.0,2.0,,
93,Spanish B V2,,,F,22.0,10.0,2.0,,
94,Story of Life,,,I,22.0,10.0,,,
95,Studio Art,,IV,,22.0,10.0,,,Art
96,US History and Lit: The 20th Century,Yes,IIA & V,,22.0,10.0,,,
97,US History and Lit: The 20th Century II,Yes,IIA & V,,22.0,10.0,,,
98,Video Production,,IV,,22.0,10.0,,,
